Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
unfortunately,It is unfortunate that,Không may,"Unfortunately, we missed the train.",adverb,none,"sadly, regrettably","fortunately, luckily","unfortunately, we cannot, unfortunately missed"
unfriendly,Not friendly,không thân thiện,He seemed unfriendly at first.,adjective,unfriendliness,"hostile, aloof","friendly, sociable","unfriendly attitude, unfriendly behavior"
unhappy,Not happy,không vui,She felt unhappy with the decision.,adjective,unhappiness,"miserable, discontent","happy, content","feel unhappy, look unhappy"
uniform,The distinctive clothing worn by members of the same organization or body or by children attending certain schools,đồng phục,The students wear a uniform.,"noun, adjective",uniformly,"outfit, dress",none,"school uniform, military uniform"
unimportant,Not important,không quan trọng,His contribution was deemed unimportant.,adjective,none,"insignificant, trivial","important, significant","seem unimportant, relatively unimportant"
union,An organized association of workers formed to protect and further their rights and interests; a labor union,sự đoàn kết,He is a member of the teachers' union.,noun,unions,"association, guild",none,"labor union, union member"
unique,Being the only one of its kind; unlike anything else,độc nhất,Her design is unique.,"adjective, noun",uniqueness,"distinctive, special","common, ordinary","unique opportunity, unique perspective"
unit,An individual thing or person regarded as single and complete but which can also form an individual component of a larger or more complex whole,đơn vị,The new housing unit is now available.,"noun, verb",units,"section, component","whole, entirety","housing unit, single unit"
unite,Come or bring together for a common purpose or action,đoàn kết,They decided to unite their efforts.,"verb, noun","unites, uniting, united","join, combine","separate, divide","unite efforts, unite the country"
united,"Joined together politically, for a common purpose, or by common feelings",thống nhất,They stood united in their cause.,"adjective, verb",unity,"together, joined","divided, split","united front, united in"
universe,All existing matter and space considered as a whole; the cosmos,vũ trụ,The universe is vast and mysterious.,"noun, verb",none,"cosmos, creation",none,"expanding universe, universe theory"
university,"An educational institution designed for instruction, examination, or both, of students in many branches of advanced learning, conferring degrees in various faculties, and often embodying colleges and similar institutions",trường đại học,She attends a prestigious university.,"noun, verb",universities,"college, school",none,"university degree, university campus"
unkind,Inconsiderate and harsh to others,không tử tế,His unkind remarks hurt her feelings.,"adjective, verb",unkindness,"cruel, mean","kind, considerate","unkind words, unkind act"
unknown,Not known or familiar,không rõ,The author of the letter is unknown.,"adjective, noun",unknowns,"unfamiliar, mysterious","known, familiar","remain unknown, completely unknown"
unless,Except if (used to introduce the case in which a statement being made is not true or valid),Trừ khi,You cannot go out unless you finish your homework.,"conjunction, preposition",none,"except, if not",none,"unless otherwise stated, unless you have"
unlike,Different from; not similar to,không giống,Her behavior is unlike her usual self.,"preposition, adjective",none,"different from, dissimilar to","like, similar","unlike any other, unlike before"
unlikely,"Not likely to happen, be done, or be true; improbable",không thể,It is unlikely to rain today.,"adjective, adverb",unlikeliness,"improbable, doubtful","likely, probable","highly unlikely, seem unlikely"
unload,"Remove (something) from a load, especially a vehicle, container, or ship",dỡ hàng,They need to unload the truck.,"verb, noun","unloads, unloading, unloaded","empty, discharge","load, fill","unload the cargo, unload quickly"
unlock,Open the lock of (something),mở khóa,She unlocked the door.,"verb, noun","unlocks, unlocking, unlocked","open, unbolt","lock, secure","unlock the door, unlock the potential"
unnecessary,Not needed,không cần thiết,This procedure is unnecessary.,"adjective, noun",unnecessarily,"unneeded, needless","necessary, essential","completely unnecessary, unnecessary costs"
unpleasant,"Causing discomfort, unhappiness, or revulsion; disagreeable",khó chịu,The smell was unpleasant.,"adjective, noun",unpleasantness,"disagreeable, offensive","pleasant, agreeable","unpleasant smell, unpleasant experience"
unreasonable,Not guided by or based on good sense,vô lý,His demands were unreasonable.,"adjective, noun",unreasonably,"irrational, illogical","reasonable, sensible","completely unreasonable, unreasonable request"
unsteady,Not firm or stable,không vững vàng,He walked with unsteady steps.,"adjective, noun",unsteadiness,"unstable, wobbly","steady, stable","unsteady on his feet, unsteady hands"
unsuccessful,Not achieving the desired aim or result,không thành công,The plan was unsuccessful.,"adjective, noun",unsuccessfully,"failed, fruitless","successful, accomplished","largely unsuccessful, unsuccessful attempt"
untidy,Not arranged neatly and in order,bừa bộn,Her room is always untidy.,"adjective, verb",untidiness,"messy, disordered","tidy, neat","untidy room, untidy hair"
until,Up to (the point in time or the event mentioned),cho đến khi,Stay here until I return.,"preposition, conjunction",none,"till, up to",since,"wait until, until now"
unusual,Not habitually or commonly occurring or done,bất thường,He had an unusual hobby.,"adjective, noun",unusualness,"rare, uncommon","usual, common","unusual behavior, unusual situation"
unusually,In a way that is not habitual or common; atypically,bất thường,She was unusually quiet today.,adverb,none,"atypically, abnormally","commonly, typically","unusually high, unusually quiet"
up,Towards a higher place or position,hướng lên,She looked up at the sky.,"adverb, preposition",ups,"above, higher","down, lower","look up, climb up"
upon,"More formal term for on, especially in abstract senses",trên,"Once upon a time, there was a princess.","preposition, adverb",none,"on, above","under, beneath","upon arrival, based upon"
upper,Situated above another part,phía trên,The upper part of the building is new.,"adjective, noun",uppers,"top, superior","lower, bottom","upper level, upper class"
upset,"Make (someone) unhappy, disappointed, or worried",buồn bã,The news upset him.,"verb, adjective","upsets, upsetting, upset","distress, worry","calm, soothe","upset stomach, upset about"
upsetting,"Causing unhappiness, disappointment, or worry",khó chịu,It was an upsetting experience.,"adjective, noun",none,"distressing, worrying","soothing, calming","very upsetting, find it upsetting"
upside down,In an inverted position,lộn ngược,The picture was hung upside down.,"adverb, adjective",none,"inverted, overturned",right side up,"hang upside down, turn upside down"
upstairs,On or to an upper floor of a building,trên lầu,They went upstairs to their rooms.,"adverb, noun",none,"above, overhead","downstairs, below","go upstairs, upstairs room"
upward,Directed towards a higher place or position,trở lên,The balloon drifted upward.,"adjective, adverb",none,"ascending, rising",downward,"upward movement, upward trend"
upwards,Towards a higher place or position,trở lên,Prices have been moving upwards.,adverb,none,upwardly,downwards,"move upwards, look upwards"
urban,"In, relating to, or characteristic of a city or town",đô thị,Urban areas are growing rapidly.,"adjective, noun",urbanize,"metropolitan, civic","rural, suburban","urban development, urban area"
urge,Try earnestly or persistently to persuade (someone) to do something,thúc giục,They urged him to apply for the job.,"verb, noun","urges, urging, urged","encourage, exhort","discourage, deter","urge someone, urge strongly"
